MaBL,MaNV,MaLCB,MaPC,MaKT,MaGL,Thang,TongLuong,NgayTinhLuong,TrangThai,SoNgayLam
BL106,NV006,LCB002,PC001,KT002,GL002,2026-02,12696000,2026-02-28,Đã Tính,26
BL107,NV007,LCB002,PC001,KT002,GL002,2026-02,12696000,2026-02-28,Đã Tính,26
BL108,NV008,LCB002,PC001,KT002,GL002,2026-02,12696000,2026-02-28,Đã Tính,26
BL109,NV009,LCB002,PC001,KT002,GL002,2026-02,12696000,2026-02-28,Đã Tính,26
BL110,NV010,LCB002,PC001,KT002,GL002,2026-02,12696000,2026-02-28,Đã Tính,26
BL111,NV011,LCB003,PC001,KT003,GL002,2026-02,16917375,2026-02-28,Đã Tính,26
BL112,NV012,LCB003,PC001,KT003,GL002,2026-02,16917375,2026-02-28,Đã Tính,26
BL113,NV013,LCB003,PC001,KT003,GL002,2026-02,16917375,2026-02-28,Đã Tính,26
BL114,NV014,LCB003,PC001,KT003,GL002,2026-02,16917375,2026-02-28,Đã Tính,26
BL115,NV015,LCB003,PC001,KT003,GL002,2026-02,16917375,2026-02-28,Đã Tính,26
BL116,NV016,LCB001,PC001,KT004,GL002,2026-02,11434500,2026-02-28,Đã Tính,26
BL117,NV017,LCB001,PC001,KT004,GL002,2026-02,11434500,2026-02-28,Đã Tính,26
BL118,NV018,LCB001,PC001,KT004,GL002,2026-02,11434500,2026-02-28,Đã Tính,26
BL119,NV019,LCB001,PC001,KT004,GL002,2026-02,11434500,2026-02-28,Đã Tính,26
BL120,NV020,LCB001,PC001,KT004,GL002,2026-02,11434500,2026-02-28,Đã Tính,26
BL121,NV021,LCB001,PC001,KT001,GL002,2026-02,10395000,2026-02-28,Đã Tính,26
BL122,NV022,LCB001,PC001,KT001,GL002,2026-02,10395000,2026-02-28,Đã Tính,26
BL123,NV023,LCB001,PC001,KT001,GL002,2026-02,10395000,2026-02-28,Đã Tính,26
BL124,NV024,LCB001,PC001,KT001,GL002,2026-02,10395000,2026-02-28,Đã Tính,26
BL125,NV025,LCB001,PC001,KT001,GL002,2026-02,10395000,2026-02-28,Đã Tính,26
BL126,NV026,LCB001,PC001,KT001,GL002,2026-02,10395000,2026-02-28,Đã Tính,26
BL127,NV027,LCB001,PC001,KT001,GL002,2026-02,10395000,2026-02-28,Đã Tính,26
BL128,NV028,LCB001,PC001,KT001,GL002,2026-02,10395000,2026-02-28,Đã Tính,26
BL129,NV029,LCB001,PC001,KT001,GL002,2026-02,10395000,2026-02-28,Đã Tính,26
BL130,NV030,LCB001,PC001,KT001,GL002,2026-02,10395000,2026-02-28,Đã Tính,26
BL131,NV031,LCB001,PC001,KT001,GL002,2026-02,10395000,2026-02-28,Đã Tính,26
BL132,NV032,LCB001,PC001,KT001,GL002,2026-02,10395000,2026-02-28,Đã Tính,26
BL133,NV033,LCB001,PC001,KT001,GL002,2026-02,10395000,2026-02-28,Đã Tính,26
BL134,NV034,LCB001,PC001,KT001,GL002,2026-02,10395000,2026-02-28,Đã Tính,26
BL135,NV035,LCB001,PC001,KT001,GL002,2026-02,10395000,2026-02-28,Đã Tính,26
BL136,NV036,LCB001,PC001,KT001,GL002,2026-02,10395000,2026-02-28,Đã Tính,26
BL137,NV037,LCB001,PC001,KT001,GL002,2026-02,10395000,2026-02-28,Đã Tính,26
BL138,NV038,LCB001,PC001,KT001,GL002,2026-02,10395000,2026-02-28,Đã Tính,26
BL139,NV039,LCB001,PC001,KT001,GL002,2026-02,10395000,2026-02-28,Đã Tính,26
BL140,NV040,LCB001,PC001,KT001,GL002,2026-02,10395000,2026-02-28,Đã Tính,26
BL141,NV041,LCB002,PC001,KT002,GL002,2026-02,12696000,2026-02-28,Đã Tính,26
BL142,NV042,LCB002,PC001,KT002,GL002,2026-02,12696000,2026-02-28,Đã Tính,26
BL143,NV043,LCB002,PC001,KT002,GL002,2026-02,12696000,2026-02-28,Đã Tính,26
BL144,NV044,LCB002,PC001,KT002,GL002,2026-02,12696000,2026-02-28,Đã Tính,26
BL145,NV045,LCB002,PC001,KT002,GL002,2026-02,12696000,2026-02-28,Đã Tính,26
BL146,NV046,LCB002,PC001,KT002,GL002,2026-02,12696000,2026-02-28,Đã Tính,26
BL147,NV047,LCB002,PC001,KT002,GL002,2026-02,12696000,2026-02-28,Đã Tính,26
BL148,NV048,LCB002,PC001,KT002,GL002,2026-02,12696000,2026-02-28,Đã Tính,26
BL149,NV049,LCB002,PC001,KT002,GL002,2026-02,12696000,2026-02-28,Đã Tính,26
BL150,NV050,LCB002,PC001,KT002,GL002,2026-02,12696000,2026-02-28,Đã Tính,26
BL151,NV051,LCB002,PC001,KT002,GL002,2026-02,12696000,2026-02-28,Đã Tính,26
BL152,NV052,LCB002,PC001,KT002,GL002,2026-02,12696000,2026-02-28,Đã Tính,26
BL153,NV053,LCB002,PC001,KT002,GL002,2026-02,12696000,2026-02-28,Đã Tính,26
BL154,NV054,LCB002,PC001,KT002,GL002,2026-02,12696000,2026-02-28,Đã Tính,26
BL155,NV055,LCB002,PC001,KT002,GL002,2026-02,12696000,2026-02-28,Đã Tính,26
BL156,NV056,LCB002,PC001,KT002,GL002,2026-02,12696000,2026-02-28,Đã Tính,26
BL157,NV057,LCB002,PC001,KT002,GL002,2026-02,12696000,2026-02-28,Đã Tính,26
BL158,NV058,LCB002,PC001,KT002,GL002,2026-02,12696000,2026-02-28,Đã Tính,26
BL159,NV059,LCB002,PC001,KT002,GL002,2026-02,12696000,2026-02-28,Đã Tính,26
BL160,NV060,LCB002,PC001,KT002,GL002,2026-02,12696000,2026-02-28,Đã Tính,26
BL161,NV061,LCB003,PC001,KT003,GL002,2026-02,16917375,2026-02-28,Đã Tính,26
BL162,NV062,LCB003,PC001,KT003,GL002,2026-02,16917375,2026-02-28,Đã Tính,26
BL163,NV063,LCB003,PC001,KT003,GL002,2026-02,16917375,2026-02-28,Đã Tính,26
BL164,NV064,LCB003,PC001,KT003,GL002,2026-02,16917375,2026-02-28,Đã Tính,26
BL165,NV065,LCB003,PC001,KT003,GL002,2026-02,16917375,2026-02-28,Đã Tính,26
BL166,NV066,LCB003,PC001,KT003,GL002,2026-02,16917375,2026-02-28,Đã Tính,26
BL167,NV067,LCB003,PC001,KT003,GL002,2026-02,16917375,2026-02-28,Đã Tính,26
BL168,NV068,LCB003,PC001,KT003,GL002,2026-02,16917375,2026-02-28,Đã Tính,26
BL169,NV069,LCB003,PC001,KT003,GL002,2026-02,16917375,2026-02-28,Đã Tính,26
BL170,NV070,LCB003,PC001,KT003,GL002,2026-02,16917375,2026-02-28,Đã Tính,26
BL171,NV071,LCB003,PC001,KT003,GL002,2026-02,16917375,2026-02-28,Đã Tính,26
BL172,NV072,LCB003,PC001,KT003,GL002,2026-02,16917375,2026-02-28,Đã Tính,26
BL173,NV073,LCB003,PC001,KT003,GL002,2026-02,16917375,2026-02-28,Đã Tính,26
BL174,NV074,LCB003,PC001,KT003,GL002,2026-02,16917375,2026-02-28,Đã Tính,26
BL175,NV075,LCB003,PC001,KT003,GL002,2026-02,16917375,2026-02-28,Đã Tính,26
BL176,NV076,LCB003,PC001,KT003,GL002,2026-02,16917375,2026-02-28,Đã Tính,26
BL177,NV077,LCB003,PC001,KT003,GL002,2026-02,16917375,2026-02-28,Đã Tính,26
BL178,NV078,LCB003,PC001,KT003,GL002,2026-02,16917375,2026-02-28,Đã Tính,26
BL179,NV079,LCB003,PC001,KT003,GL002,2026-02,16917375,2026-02-28,Đã Tính,26
BL180,NV080,LCB003,PC001,KT003,GL002,2026-02,16917375,2026-02-28,Đã Tính,26
BL181,NV081,LCB001,PC001,KT004,GL002,2026-02,11434500,2026-02-28,Đã Tính,26
BL182,NV082,LCB001,PC001,KT004,GL002,2026-02,11434500,2026-02-28,Đã Tính,26
BL183,NV083,LCB001,PC001,KT004,GL002,2026-02,11434500,2026-02-28,Đã Tính,26
BL184,NV084,LCB001,PC001,KT004,GL002,2026-02,11434500,2026-02-28,Đã Tính,26
BL185,NV085,LCB001,PC001,KT004,GL002,2026-02,11434500,2026-02-28,Đã Tính,26
BL186,NV086,LCB001,PC001,KT004,GL002,2026-02,11434500,2026-02-28,Đã Tính,26
BL187,NV087,LCB001,PC001,KT004,GL002,2026-02,11434500,2026-02-28,Đã Tính,26
BL188,NV088,LCB001,PC001,KT004,GL002,2026-02,11434500,2026-02-28,Đã Tính,26
BL189,NV089,LCB001,PC001,KT004,GL002,2026-02,11434500,2026-02-28,Đã Tính,26
BL190,NV090,LCB001,PC001,KT004,GL002,2026-02,11434500,2026-02-28,Đã Tính,26
BL191,NV091,LCB001,PC001,KT004,GL002,2026-02,11434500,2026-02-28,Đã Tính,26
BL192,NV092,LCB001,PC001,KT004,GL002,2026-02,11434500,2026-02-28,Đã Tính,26
BL193,NV093,LCB001,PC001,KT004,GL002,2026-02,11434500,2026-02-28,Đã Tính,26
BL194,NV094,LCB001,PC001,KT004,GL002,2026-02,11434500,2026-02-28,Đã Tính,26
BL195,NV095,LCB001,PC001,KT004,GL002,2026-02,11434500,2026-02-28,Đã Tính,26
BL196,NV096,LCB001,PC001,KT004,GL002,2026-02,11434500,2026-02-28,Đã Tính,26
BL197,NV097,LCB001,PC001,KT004,GL002,2026-02,11434500,2026-02-28,Đã Tính,26
BL198,NV098,LCB001,PC001,KT004,GL002,2026-02,11434500,2026-02-28,Đã Tính,26
BL199,NV099,LCB001,PC001,KT004,GL002,2026-02,11434500,2026-02-28,Đã Tính,26
BL200,NV100,LCB001,PC001,KT004,GL002,2026-02,11434500,2026-02-28,Đã Tính,26
BL201,NV001,LCB001,PC001,KT001,GL002,2026-03,10395000,2026-03-31,Đã Tính,26
BL202,NV002,LCB001,PC001,KT001,GL002,2026-03,10395000,2026-03-31,Đã Tính,26
BL203,NV003,LCB001,PC001,KT001,GL002,2026-03,10395000,2026-03-31,Đã Tính,26
BL204,NV004,LCB001,PC001,KT001,GL002,2026-03,10395000,2026-03-31,Đã Tính,26
BL205,NV005,LCB001,PC001,KT001,GL002,2026-03,10395000,2026-03-31,Đã Tính,26
BL206,NV006,LCB002,PC001,KT002,GL002,2026-03,12696000,2026-03-31,Đã Tính,26
BL207,NV007,LCB002,PC001,KT002,GL002,2026-03,12696000,2026-03-31,Đã Tính,26
BL208,NV008,LCB002,PC001,KT002,GL002,2026-03,12696000,2026-03-31,Đã Tính,26
BL209,NV009,LCB002,PC001,KT002,GL002,2026-03,12696000,2026-03-31,Đã Tính,26
BL210,NV010,LCB002,PC001,KT002,GL002,2026-03,12696000,2026-03-31,Đã Tính,26
BL211,NV011,LCB003,PC001,KT003,GL002,2026-03,16917375,2026-03-31,Đã Tính,26
BL212,NV012,LCB003,PC001,KT003,GL002,2026-03,16917375,2026-03-31,Đã Tính,26
BL213,NV013,LCB003,PC001,KT003,GL002,2026-03,16917375,2026-03-31,Đã Tính,26
BL214,NV014,LCB003,PC001,KT003,GL002,2026-03,16917375,2026-03-31,Đã Tính,26
BL215,NV015,LCB003,PC001,KT003,GL002,2026-03,16917375,2026-03-31,Đã Tính,26
BL216,NV016,LCB001,PC001,KT004,GL002,2026-03,11434500,2026-03-31,Đã Tính,26
BL217,NV017,LCB001,PC001,KT004,GL002,2026-03,11434500,2026-03-31,Đã Tính,26
BL218,NV018,LCB001,PC001,KT004,GL002,2026-03,11434500,2026-03-31,Đã Tính,26
BL219,NV019,LCB001,PC001,KT004,GL002,2026-03,11434500,2026-03-31,Đã Tính,26
BL220,NV020,LCB001,PC001,KT004,GL002,2026-03,11434500,2026-03-31,Đã Tính,26
BL221,NV021,LCB001,PC001,KT001,GL002,2026-03,10395000,2026-03-31,Đã Tính,26
BL222,NV022,LCB001,PC001,KT001,GL002,2026-03,10395000,2026-03-31,Đã Tính,26
BL223,NV023,LCB001,PC001,KT001,GL002,2026-03,10395000,2026-03-31,Đã Tính,26
BL224,NV024,LCB001,PC001,KT001,GL002,2026-03,10395000,2026-03-31,Đã Tính,26
BL225,NV025,LCB001,PC001,KT001,GL002,2026-03,10395000,2026-03-31,Đã Tính,26
BL226,NV026,LCB001,PC001,KT001,GL002,2026-03,10395000,2026-03-31,Đã Tính,26
BL227,NV027,LCB001,PC001,KT001,GL002,2026-03,10395000,2026-03-31,Đã Tính,26
BL228,NV028,LCB001,PC001,KT001,GL002,2026-03,10395000,2026-03-31,Đã Tính,26
BL229,NV029,LCB001,PC001,KT001,GL002,2026-03,10395000,2026-03-31,Đã Tính,26
BL230,NV030,LCB001,PC001,KT001,GL002,2026-03,10395000,2026-03-31,Đã Tính,26
BL231,NV031,LCB001,PC001,KT001,GL002,2026-03,10395000,2026-03-31,Đã Tính,26
BL232,NV032,LCB001,PC001,KT001,GL002,2026-03,10395000,2026-03-31,Đã Tính,26
BL233,NV033,LCB001,PC001,KT001,GL002,2026-03,10395000,2026-03-31,Đã Tính,26
BL234,NV034,LCB001,PC001,KT001,GL002,2026-03,10395000,2026-03-31,Đã Tính,26
BL235,NV035,LCB001,PC001,KT001,GL002,2026-03,10395000,2026-03-31,Đã Tính,26
BL236,NV036,LCB001,PC001,KT001,GL002,2026-03,10395000,2026-03-31,Đã Tính,26
BL237,NV037,LCB001,PC001,KT001,GL002,2026-03,10395000,2026-03-31,Đã Tính,26
BL238,NV038,LCB001,PC001,KT001,GL002,2026-03,10395000,2026-03-31,Đã Tính,26
BL239,NV039,LCB001,PC001,KT001,GL002,2026-03,10395000,2026-03-31,Đã Tính,26
BL240,NV040,LCB001,PC001,KT001,GL002,2026-03,10395000,2026-03-31,Đã Tính,26
BL241,NV041,LCB002,PC001,KT002,GL002,2026-03,12696000,2026-03-31,Đã Tính,26
BL242,NV042,LCB002,PC001,KT002,GL002,2026-03,12696000,2026-03-31,Đã Tính,26
BL243,NV043,LCB002,PC001,KT002,GL002,2026-03,12696000,2026-03-31,Đã Tính,26
BL244,NV044,LCB002,PC001,KT002,GL002,2026-03,12696000,2026-03-31,Đã Tính,26
BL245,NV045,LCB002,PC001,KT002,GL002,2026-03,12696000,2026-03-31,Đã Tính,26
BL246,NV046,LCB002,PC001,KT002,GL002,2026-03,12696000,2026-03-31,Đã Tính,26
BL247,NV047,LCB002,PC001,KT002,GL002,2026-03,12696000,2026-03-31,Đã Tính,26
BL248,NV048,LCB002,PC001,KT002,GL002,2026-03,12696000,2026-03-31,Đã Tính,26
BL249,NV049,LCB002,PC001,KT002,GL002,2026-03,12696000,2026-03-31,Đã Tính,26
BL250,NV050,LCB002,PC001,KT002,GL002,2026-03,12696000,2026-03-31,Đã Tính,26
BL251,NV051,LCB002,PC001,KT002,GL002,2026-03,12696000,2026-03-31,Đã Tính,26
BL252,NV052,LCB002,PC001,KT002,GL002,2026-03,12696000,2026-03-31,Đã Tính,26
BL253,NV053,LCB002,PC001,KT002,GL002,2026-03,12696000,2026-03-31,Đã Tính,26
BL254,NV054,LCB002,PC001,KT002,GL002,2026-03,12696000,2026-03-31,Đã Tính,26
BL255,NV055,LCB002,PC001,KT002,GL002,2026-03,12696000,2026-03-31,Đã Tính,26
BL256,NV056,LCB002,PC001,KT002,GL002,2026-03,12696000,2026-03-31,Đã Tính,26
BL257,NV057,LCB002,PC001,KT002,GL002,2026-03,12696000,2026-03-31,Đã Tính,26
BL258,NV058,LCB002,PC001,KT002,GL002,2026-03,12696000,2026-03-31,Đã Tính,26
BL259,NV059,LCB002,PC001,KT002,GL002,2026-03,12696000,2026-03-31,Đã Tính,26
BL260,NV060,LCB002,PC001,KT002,GL002,2026-03,12696000,2026-03-31,Đã Tính,26
BL261,NV061,LCB003,PC001,KT003,GL002,2026-03,16917375,2026-03-31,Đã Tính,26
BL262,NV062,LCB003,PC001,KT003,GL002,2026-03,16917375,2026-03-31,Đã Tính,26
BL263,NV063,LCB003,PC001,KT003,GL002,2026-03,16917375,2026-03-31,Đã Tính,26
BL264,NV064,LCB003,PC001,KT003,GL002,2026-03,16917375,2026-03-31,Đã Tính,26
BL265,NV065,LCB003,PC001,KT003,GL002,2026-03,16917375,2026-03-31,Đã Tính,26
BL266,NV066,LCB003,PC001,KT003,GL002,2026-03,16917375,2026-03-31,Đã Tính,26
BL267,NV067,LCB003,PC001,KT003,GL002,2026-03,16917375,2026-03-31,Đã Tính,26
BL268,NV068,LCB003,PC001,KT003,GL002,2026-03,16917375,2026-03-31,Đã Tính,26
BL269,NV069,LCB003,PC001,KT003,GL002,2026-03,16917375,2026-03-31,Đã Tính,26
BL270,NV070,LCB003,PC001,KT003,GL002,2026-03,16917375,2026-03-31,Đã Tính,26
BL271,NV071,LCB003,PC001,KT003,GL002,2026-03,16917375,2026-03-31,Đã Tính,26
BL272,NV072,LCB003,PC001,KT003,GL002,2026-03,16917375,2026-03-31,Đã Tính,26
BL273,NV073,LCB003,PC001,KT003,GL002,2026-03,16917375,2026-03-31,Đã Tính,26
BL274,NV074,LCB003,PC001,KT003,GL002,2026-03,16917375,2026-03-31,Đã Tính,26
BL275,NV075,LCB003,PC001,KT003,GL002,2026-03,16917375,2026-03-31,Đã Tính,26
BL276,NV076,LCB003,PC001,KT003,GL002,2026-03,16917375,2026-03-31,Đã Tính,26
BL277,NV077,LCB003,PC001,KT003,GL002,2026-03,16917375,2026-03-31,Đã Tính,26
